Year,Jurisdiction,YesComputerScore,YesComputerPercentage,NoComputerScore,NoComputerPercentage,YesInternetScore,YesInternetPercentage,NoInternetScore,NoInternetPercentage
2015,Pennsylvania,286.6959681,89.4319404,259.3092128,10.5680596,285.5369531,94.13170812,253.6957001,5.868291876
2015,Rhode Island,284.2782832,89.68086309,259.4784149,10.31913691,283.1431632,95.65204234,244.0916426,4.347957663
2015,South Carolina,277.9721747,86.71423349,263.4017686,13.28576651,277.4915693,92.58448276,255.0561401,7.415517242
2015,South Dakota,286.6068931,88.86476755,269.1259315,11.13523245,286.3861691,92.45944937,263.2477603,7.540550627
2015,Tennessee,281.4145739,84.11256479,261.5397806,15.88743521,280.4395084,91.05951698,255.7553345,8.940483021
2015,Texas,287.8249441,81.64142403,266.8921394,18.35857597,286.2222719,90.87408544,259.6087021,9.125914565
2015,Utah,,,,,,,286.173147,99.82851108
2015,Vermont,293.0910437,89.05270737,271.2296704,10.94729263,292.1082737,93.49641305,265.1526486,6.503586951
2015,Virginia,291.199443,89.06261444,262.6042249,10.93738556,290.056422,92.97389138,257.4836385,7.026108616
2015,Washington,289.4455784,89.47997748,264.102323,10.52002252,288.3960369,93.52119491,259.3331269,6.478805089
2015,West Virginia,273.4777173,86.13743915,259.6639844,13.86256085,272.6345134,93.35323562,254.8242752,6.646764378
2015,Wisconsin,291.6678957,90.60167907,266.2264728,9.398320935,290.5197046,95.31429406,259.7462125,4.685705939
2015,Wyoming,288.7635426,86.99861657,273.4333142,13.00138343,287.9946303,92.98680598,269.0577056,7.013194023
2013,National,286.4652594,92.29882398,263.9288906,7.701176022,286.6614078,92.21223055,260.2792166,7.787769446
2013,Alabama,271.0215232,90.43491038,254.0102562,9.565089616,271.9330495,88.2406154,248.6429798,11.7593846
2013,Alaska,,,,,,,281.6301328,99.8607034
2013,Arizona,282.3985991,88.62297833,259.2025781,11.37702167,282.9716082,88.51317134,254.6840773,11.48682866
2013,Arkansas,279.2961396,88.58616118,267.3146156,11.41383882,279.5056629,88.98650092,265.0610216,11.01349908
2013,California,278.2654356,90.71237866,253.7201894,9.287621338,278.6424628,90.40341523,250.07905,9.596584772
2013,Colorado,291.7069849,93.12393678,263.0958789,6.876063223,292.2455452,92.69710053,257.1396933,7.302899472
2013,Connecticut,286.576933,95.75703108,259.551708,4.242968921,286.689391,96.22106088,248.4400644,3.778939121
2013,Delaware,283.7430237,92.88653954,265.3042406,7.11346046,283.7043172,93.60933492,262.3290987,6.390665077
2013,District of Columbia,268.4425023,86.38433917,248.4128361,13.61566083,268.0660092,89.47534336,241.3986926,10.52465664
2013,Florida,282.0154826,93.80499122,265.8874873,6.195008785,282.1920952,94.04512227,259.7524131,5.954877734
2013,Georgia,280.7983953,92.76435158,261.6164592,7.235648425,281.1744863,92.78007861,253.5374075,7.219921389
2013,Hawaii,283.2707132,90.66991212,264.1840051,9.330087877,284.2326398,89.84230751,256.4732102,10.15769249
2013,Idaho,287.7349944,93.42261495,268.9782004,6.577385051,288.5115514,91.94064861,262.4837769,8.059351388
2013,Illinois,286.6791692,93.2562776,262.9316912,6.743722396,286.8342568,93.3864561,257.5517779,6.613543903
2013,Indiana,289.6065494,91.21058404,270.6989718,8.789415961,289.4323027,91.96163328,268.7235078,8.038366723
2013,Iowa,286.4749164,94.07463172,263.8387774,5.925368275,286.656235,94.23941315,259.1226296,5.760586848
2013,Kansas,291.0214062,91.77967761,273.1690768,8.220322393,290.9698315,92.7131778,271.0492767,7.286822202
2013,Kentucky,282.302482,90.74454009,265.1580447,9.255459911,282.0626246,91.4183363,265.5485527,8.581663704
2013,Louisiana,274.2627825,87.39770493,262.2505956,12.60229507,274.6734511,88.63075709,257.8518855,11.36924291
2013,Maine,289.8593488,93.80176785,272.9009635,6.198232145,289.6715829,93.35930229,275.5100718,6.640697708
2013,Maryland,288.0812354,94.38620238,265.0237357,5.613797624,288.1256821,94.49184448,261.17835,5.508155519
2013,Massachusetts,302.0203433,95.49376114,273.5177139,4.506238859,302.2962934,96.000493,259.0895095,3.999507002
2013,Michigan,281.6725795,93.75619032,261.1103436,6.243809684,281.7885968,93.35749974,256.8732848,6.64250026
2013,Minnesota,296.2055125,94.47615346,270.5781145,5.523846544,296.6296531,94.66857663,258.4282124,5.331423367
2013,Mississippi,273.0537641,87.77411654,258.9187328,12.22588346,273.5246924,87.41383402,254.7443497,12.58616598
2013,Missouri,284.6718052,90.34328233,268.1373163,9.656717667,284.6618911,90.69130219,266.6847992,9.308697813
2013,Montana,291.1908641,90.63575608,271.7907337,9.364243916,290.9804487,90.80428857,271.9281356,9.195711429
2013,Nebraska,286.847873,91.75441439,266.8704235,8.245585611,286.6469156,92.4532735,265.6369166,7.546726497
2013,Nevada,280.1326739,90.10419515,261.6711903,9.895804849,280.3316852,91.0946881,257.3678149,8.905311903
2013,New Hampshire,296.7907086,95.5374735,276.1696538,4.462526498,296.5801195,95.93909293,274.0483014,4.060907073
2013,New Jersey,296.8801891,96.98663583,270.5673595,3.013364174,297.182089,96.93068888,260.4071326,3.069311123
2013,New Mexico,275.1900106,85.61618846,259.202628,14.38381154,276.0954411,83.57598959,255.7981316,16.42401041
2013,New York,283.6323839,94.39763603,255.239754,5.602363974,283.8709401,94.68354456,245.0640262,5.316455441
2013,North Carolina,287.5616358,90.5645025,268.8729258,9.435497498,287.4020512,91.15216457,267.547898,8.847835433
2013,North Dakota,291.5319241,94.50589618,272.4984532,5.49410382,291.7343234,94.99817358,267.3589842,5.001826422
2013,Ohio,291.2905443,91.95050224,270.8467614,8.049497757,291.094567,93.58175776,266.6880361,6.41824224
2013,Oklahoma,277.8544736,85.75335933,263.049963,14.24664067,277.8557277,87.73555856,258.7028321,12.26444144
2013,Oregon,285.4128167,91.18610146,265.892604,8.813898538,285.7119786,91.00640328,261.3903461,8.993596716
2013,Pennsylvania,291.1376719,94.62464971,264.1267893,5.375350287,291.4299811,94.76380251,256.9330112,5.236197495
2013,Rhode Island,285.6587954,94.01882571,262.5403089,5.981174295,285.9580183,94.54605768,251.7477898,5.453942324
2013,South Carolina,281.7717196,91.68376523,259.0731611,8.316234768,282.2655864,91.07954624,254.9017557,8.920453756
2013,South Dakota,288.9617125,91.92205387,267.5996465,8.077946125,289.3195534,91.5401077,265.0974629,8.459892298
2013,Tennessee,279.6487597,89.82905483,261.8086141,10.17094517,279.5938522,91.39640075,257.8154674,8.603599249
2013,Texas,290.2891929,88.74869025,271.6672651,11.25130975,290.3387969,89.89803455,269.1564906,10.10196545
2013,Utah,286.0007178,93.37691476,261.5386963,6.623085241,286.2237369,93.18195278,258.4701801,6.818047217
2013,Vermont,297.0933656,94.39287567,272.9606863,5.607124332,297.1377326,93.30788094,272.2103487,6.692119055
2013,Virginia,289.8242158,93.38553349,268.5974577,6.614466514,289.6905655,93.91395802,264.26179,6.086041979
2013,Washington,291.9435631,92.87942041,266.1678536,7.120579586,292.452566,92.27936275,260.1291039,7.720637248
2013,West Virginia,275.9122298,90.82553383,260.7074702,9.174466172,276.1925947,91.34574313,255.827357,8.654256869
2013,Wisconsin,290.3517844,93.58496256,266.4436012,6.41503744,290.3157388,93.44402398,266.3687637,6.555976017
2013,Wyoming,288.9825221,92.26220995,278.4258551,7.737790048,288.9747903,92.55659133,277.4793445,7.443408675
2011,National,285.5356396,93.14806765,262.564411,6.851932351,286.314343,92.52883618,264.4216098,7.471163825
2011,Alabama,270.9805336,91.0773247,250.4774189,8.9226753,271.8793779,91.22096714,253.8075331,8.779032859
2011,Alaska,,,,,,,,
2011,Arizona,282.0087441,88.70999416,256.3655805,11.29000584,282.790269,87.96081281,261.422516,12.03918719
2011,Arkansas,280.9260215,88.09082384,265.7951197,11.90917616,281.5557651,87.1391557,266.8932225,12.8608443
2011,California,275.2842447,90.82908217,250.2199741,9.170917833,276.5111144,90.18479125,250.7393688,9.815208749
2011,Colorado,293.5435918,93.77111221,266.5173335,6.228887786,294.5230258,93.31847719,264.7282554,6.68152281
2011,Connecticut,288.0290346,95.7592784,264.9846631,4.240721603,288.7034204,95.71241159,263.8295687,4.287588413
2011,Delaware,284.3544776,93.20736851,263.4765773,6.792631492,284.9992275,92.57985274,267.2814161,7.420147262
2011,District of Columbia,263.2878165,89.59331306,241.7123651,10.40668694,263.8789589,92.27834817,239.1511152,7.72165183
2011,Florida,279.1310069,94.40681561,258.4339071,5.593184392,279.6786504,93.45573834,261.0518382,6.544261661
2011,Georgia,279.9619756,92.70265336,261.1378367,7.297346636,280.666792,91.97656276,262.4408502,8.023437238
2011,Hawaii,279.7289005,92.53988316,257.6976417,7.46011684,281.3211228,91.87756281,254.1581121,8.122437194
2011,Idaho,288.4292092,92.55227602,266.3871087,7.447723975,288.7585646,90.54036517,269.6012242,9.459634832
2011,Illinois,284.5968118,93.88804028,263.6849268,6.111959724,285.4408458,93.38951267,266.6905606,6.610487333
2011,Indiana,286.0801423,92.65726352,271.4666737,7.342736478,286.6988485,91.52365813,271.843174,8.476341867
2011,Iowa,286.0007957,93.89079262,269.5509535,6.109207381,286.3155419,93.28446361,270.5805453,6.715536388
2011,Kansas,291.1399479,92.58535715,272.1270999,7.414642849,291.4363633,92.08774619,276.3612966,7.912253806
2011,Kentucky,282.8623028,91.45448454,268.5107909,8.545515455,283.5459537,90.24849174,270.2680639,9.75150826
2011,Louisiana,274.6513952,90.32424337,256.0653889,9.675756626,275.0506497,90.45115471,256.542191,9.54884529
2011,Maine,289.6199582,94.14847011,272.8406586,5.851529885,290.1644439,93.19086467,274.1207415,6.809135325
2011,Maryland,289.1070674,95.75478861,262.1971723,4.245211394,290.0053777,96.06351904,264.2552521,3.936480957
2011,Massachusetts,299.3674284,96.465701,276.6680603,3.534299005,300.6422711,96.33930994,277.4849432,3.660690059
2011,Michigan,281.2488074,94.43652875,262.4137442,5.563471253,281.747829,93.38054889,266.6265016,6.619451114
2011,Minnesota,296.5731419,95.33737476,266.804745,4.66262524,297.1695143,93.92036905,273.624774,6.079630953
2011,Mississippi,270.8931345,88.98197783,256.4013071,11.01802217,271.4616906,87.60276328,261.4387387,12.39723672
2011,Missouri,283.0442518,91.99766635,269.0142625,8.002333653,283.7397779,90.14210453,269.4881477,9.857895469
2011,Montana,294.9351617,91.9914388,269.9885768,8.008561197,295.374431,89.40520538,274.5493063,10.59479462
2011,Nebraska,284.8899118,93.4521328,260.3139357,6.547867197,285.5887922,92.52733805,262.6721073,7.472661953
2011,Nevada,279.6578782,91.61874661,261.4619819,8.381253386,280.9160466,90.50322731,264.5228584,9.496772685
2011,New Hampshire,293.0481181,96.55016189,271.3726644,3.449838109,293.5151348,95.35819327,272.3802279,4.641806731
2011,New Jersey,295.1877757,97.27561601,265.0367381,2.724383988,296.0842686,97.03720907,263.4299573,2.962790926
2011,New Mexico,277.0357845,87.35567626,257.4348135,12.64432374,278.064215,85.52481359,259.0014021,14.47518641
2011,New York,281.8901347,94.96234052,259.0696381,5.037659477,282.2236678,95.65215082,261.3072326,4.34784918
2011,North Carolina,287.717793,92.5713285,269.3178401,7.428671501,288.4243031,92.30005326,268.3875084,7.699946739
2011,North Dakota,293.0655611,94.99811864,273.7130597,5.001881359,293.2885169,94.10002464,276.1092125,5.899975356
2011,Ohio,290.3978781,92.97157694,265.1981411,7.028423055,290.4938205,93.02394839,269.2784197,6.976051607
2011,Oklahoma,281.0717374,88.55448324,265.1183904,11.44551676,281.4613535,87.33426871,266.1766197,12.66573129
2011,Oregon,284.6120767,91.65340513,262.3353714,8.346594868,285.1387478,90.18999229,267.4933965,9.810007707
2011,Pennsylvania,287.4100095,94.90960029,263.1021263,5.090399709,288.604033,94.44231874,261.7685591,5.55768126
2011,Rhode Island,284.3483542,94.58221824,257.1521823,5.417781756,285.8093663,94.66721014,258.1659003,5.332789857
2011,South Carolina,282.4836743,92.97905219,264.2792126,7.020947809,283.2380069,91.93008234,265.1015329,8.06991766
2011,South Dakota,292.0054435,92.50437084,272.5109937,7.495629158,292.2365165,91.23098109,272.7684084,8.769018907
2011,Tennessee,275.9645275,89.39147131,257.9436737,10.60852869,276.2562188,88.51281475,259.8760193,11.48718525
2011,Texas,292.1342018,89.82181352,275.7726001,10.17818648,292.916981,89.26987208,277.363022,10.73012792
2011,Utah,284.9203432,94.64282026,254.4961618,5.357179741,285.3787818,93.14634063,259.1196636,6.853659372
2011,Vermont,295.5742322,95.08788923,269.3985067,4.912110774,295.8997137,92.90056074,277.6067715,7.099439262
2011,Virginia,290.7090334,94.66353369,265.8017035,5.336466315,291.5456786,94.09462611,265.6057745,5.905373889
2011,Washington,290.11997,93.64114459,259.5491573,6.358855411,291.7174118,92.10622864,259.1467884,7.893771361
2011,West Virginia,274.4282611,92.33834053,258.9658665,7.661659465,275.2240095,89.87784689,260.9966306,10.12215311
